time,name,n
27,USA,0.215169766
27,Turkey,0.1872928
28,France,0.406269358
28,Korea,0.594123175
28,USA,0.210084271
28,Turkey,0.178837644
29,France,0.397758105
29,Korea,0.617771856
29,USA,0.203958708
29,Turkey,0.175843776
30,France,0.395430892
30,Korea,0.620679945
30,USA,0.201199341
30,Turkey,0.175306658
31,France,0.37853649
31,Korea,0.528755514
31,USA,0.19434321
31,Turkey,0.176673759
32,France,0.360749938
32,Korea,0.450778991
32,USA,0.186213479
32,Turkey,0.181825583
33,France,0.352005354
33,Korea,0.373940755
33,USA,0.177015788
33,Turkey,0.185751403
34,France,0.339643373
34,Korea,0.386040897
34,USA,0.1658074
34,Turkey,0.187295171
35,France,0.325140234
35,Korea,0.344690301
35,USA,0.153459836
35,Turkey,0.190266511
36,France,0.317284749
36,Korea,0.305320012
36,USA,0.152103446
36,Turkey,0.191334818
37,France,0.314440548
37,Korea,0.301548463
37,USA,0.149917674
37,Turkey,0.191663254
38,France,0.316420051
38,Korea,0.372997381
38,USA,0.143796563
38,Turkey,0.193750068
39,France,0.31301921
39,Korea,0.423750535
39,USA,0.139402467
39,Turkey,0.191804351
40,France,0.311324889
40,Korea,0.465902219
40,USA,0.137000372
40,Turkey,0.19140833
41,France,0.307948449
41,Korea,0.419049256
41,USA,0.13654755
41,Turkey,0.190171656
42,France,0.300440673
42,Korea,0.39897916
42,USA,0.135117273
42,Turkey,0.188095512
43,France,0.29380217
43,Korea,0.38716359
43,USA,0.131259086
43,Turkey,0.187599894
44,France,0.292550111
44,Korea,0.386198775
44,USA,0.128753133
44,Turkey,0.185827287
45,France,0.287758433
45,Korea,0.369685825
45,USA,0.122857543
45,Turkey,0.177469357
46,France,0.281412738
46,Korea,0.362645601
46,USA,0.118647127
46,Turkey,0.173270828
47,France,0.269496069
47,Korea,0.357872204
47,USA,0.114479739
47,Turkey,0.168973887
48,France,0.252060277
48,Korea,0.347592542
48,USA,0.110246475
48,Turkey,0.161584666
49,France,0.224943525
49,Korea,0.330822307
49,USA,0.10612241
49,Turkey,0.149779935
50,France,0.207347604
50,Korea,0.320813572
50,USA,0.103387376
50,Turkey,0.14543201
51,France,0.203362672
51,Korea,0.320593322
51,USA,0.103365714
51,Turkey,0.142797406
52,France,0.180372682
52,Korea,0.308647161
52,USA,0.102426835
52,Turkey,0.139954121
53,France,0.157492494
53,Korea,0.298767068
53,USA,0.100152932
53,Turkey,0.135759149
54,France,0.139858446
54,Korea,0.290682115
54,USA,0.097225018
54,Turkey,0.129974167
55,France,0.129744375
55,Korea,0.284006377
55,USA,0.093919357
55,Turkey,0.126163359
56,France,0.117987835
56,Korea,0.277003186
56,USA,0.088366795
56,Turkey,0.122635931
57,France,0.111600964
57,Korea,0.271822424
57,USA,0.086783401
57,Turkey,0.119205729
58,France,0.110396182
58,Korea,0.27116557
58,USA,0.085523748
58,Turkey,0.116415801
59,France,0.104328045
59,Korea,0.266559798
59,USA,0.085237693
59,Turkey,0.107052406
60,France,0.098918725
60,Korea,0.233342883
60,USA,0.082113932
60,Turkey,0.100126789
61,France,0.092842962
61,Korea,0.220120048
61,USA,0.078539129
61,Turkey,0.094514918
62,France,0.086668072
62,Korea,0.19449106
62,USA,0.075392223
62,Turkey,0.089115285
63,France,0.075936359
63,Korea,0.157149805
63,USA,0.072183595
63,Turkey,0.082853655
64,France,0.069166703
64,Korea,0.136956915
64,USA,0.069560134
64,Turkey,0.079457839
65,France,0.067742315
65,Korea,0.13561592
65,USA,0.068100777
65,Turkey,0.076685695
66,France,0.061116012
66,Korea,0.113797463
66,USA,0.063806681
66,Turkey,0.070556863
67,France,0.054163351
67,Korea,0.126876063
67,USA,0.061444944
67,Turkey,0.064093666
68,France,0.046960583
68,Korea,0.109829053
68,USA,0.059566889
68,Turkey,0.058030047
69,France,0.042832297
69,Korea,0.109930407
69,USA,0.057875185
69,Turkey,0.052974264
70,France,0.038040619
70,Korea,0.107784426
70,USA,0.055470718
70,Turkey,0.047233152
71,France,0.035780508
71,Korea,0.103455428
71,USA,0.053792961
71,Turkey,0.044558235
72,France,0.035467875
72,Korea,0.103157213
72,USA,0.053190583
72,Turkey,0.042989567
73,France,0.035068314
73,Korea,0.096832316
73,USA,0.052422031
73,Turkey,0.03823495
74,France,0.035371797
74,Korea,0.092840517
74,USA,0.051687011
74,Turkey,0.034929246
75,France,0.036765685
75,Korea,0.10023743
75,USA,0.051193833
75,Turkey,0.032495024
76,France,0.037950642
76,Korea,0.093573387
76,USA,0.050227654
76,Turkey,0.033014356
77,France,0.040308355
77,Korea,0.087706533
77,USA,0.049412218
77,Turkey,0.033832482
78,France,0.040951922
78,Korea,0.084782852
78,USA,0.049166815
78,Turkey,0.033919038
79,France,0.040997673
79,Korea,0.084695142
79,USA,0.048872451
79,Turkey,0.03431743
80,France,0.042342759
80,Korea,0.083112456
80,USA,0.045575692
80,Turkey,0.038813567
81,France,0.044140782
81,Korea,0.081481042
81,USA,0.038253089
81,Turkey,0.043659482
