country,countryCode,date,patientNumber
Argentina,ARG,1/2/2022,1102
Argentina,ARG,1/3/2022,1162
Argentina,ARG,1/4/2022,1218
Argentina,ARG,1/5/2022,1396
Argentina,ARG,1/6/2022,1572
Argentina,ARG,1/7/2022,1680
Argentina,ARG,1/8/2022,1852
Argentina,ARG,1/9/2022,1901
Argentina,ARG,1/10/2022,1967
Argentina,ARG,1/11/2022,2084
Argentina,ARG,1/12/2022,2206
Argentina,ARG,1/13/2022,2406
Argentina,ARG,1/14/2022,2268
Argentina,ARG,1/15/2022,1965
Argentina,ARG,1/16/2022,2036
Argentina,ARG,1/17/2022,2099
Argentina,ARG,1/18/2022,2330
Argentina,ARG,1/19/2022,2310
Argentina,ARG,1/20/2022,2470
Argentina,ARG,1/21/2022,2511
Argentina,ARG,1/22/2022,2558
Argentina,ARG,1/23/2022,2562
Argentina,ARG,1/24/2022,2592
Argentina,ARG,1/25/2022,2640
Argentina,ARG,1/26/2022,2755
Argentina,ARG,1/27/2022,2836
Argentina,ARG,1/28/2022,2945
Argentina,ARG,1/29/2022,2924
Argentina,ARG,1/30/2022,2912
Argentina,ARG,1/31/2022,2909
Argentina,ARG,2/1/2022,2864
Argentina,ARG,2/2/2022,2762
Argentina,ARG,2/3/2022,2750
Argentina,ARG,2/4/2022,2692
Argentina,ARG,2/5/2022,2630
Argentina,ARG,2/6/2022,2597
Argentina,ARG,2/7/2022,2537
Argentina,ARG,2/8/2022,2493
Argentina,ARG,2/9/2022,2428
Argentina,ARG,2/10/2022,2321
Argentina,ARG,2/11/2022,2107
Argentina,ARG,2/12/2022,2086
Argentina,ARG,2/13/2022,2026
Argentina,ARG,2/14/2022,2001
Argentina,ARG,2/15/2022,1884
Argentina,ARG,2/16/2022,1862
Argentina,ARG,2/17/2022,1789
Argentina,ARG,2/18/2022,1645
Argentina,ARG,2/19/2022,1625
Argentina,ARG,2/20/2022,1572
Argentina,ARG,2/21/2022,1542
Argentina,ARG,2/22/2022,1474
Argentina,ARG,2/23/2022,1452
Argentina,ARG,2/24/2022,1384
Argentina,ARG,2/25/2022,1247
Argentina,ARG,2/26/2022,1170
Argentina,ARG,2/27/2022,1156
Argentina,ARG,2/28/2022,1136
Argentina,ARG,3/1/2022,1136
Argentina,ARG,3/2/2022,1101
Argentina,ARG,3/3/2022,1076
Argentina,ARG,3/4/2022,1035
Argentina,ARG,3/5/2022,1009
Argentina,ARG,3/6/2022,1007
Argentina,ARG,3/7/2022,966
Argentina,ARG,3/8/2022,961
Argentina,ARG,3/9/2022,916
Argentina,ARG,3/10/2022,861
Argentina,ARG,3/11/2022,759
Argentina,ARG,3/12/2022,738
Argentina,ARG,3/13/2022,737
Argentina,ARG,3/14/2022,768
Argentina,ARG,3/15/2022,761
Argentina,ARG,3/16/2022,741
Argentina,ARG,3/17/2022,707
Argentina,ARG,3/18/2022,691
Argentina,ARG,3/19/2022,699
Argentina,ARG,3/20/2022,689
Argentina,ARG,3/21/2022,678
Argentina,ARG,3/22/2022,632
Australia,AUS,1/1/2022,194
Australia,AUS,1/1/2022,1828
Australia,AUS,1/2/2022,217
Australia,AUS,1/2/2022,2003
Australia,AUS,1/3/2022,237
Australia,AUS,1/3/2022,2207
Australia,AUS,1/4/2022,248
Australia,AUS,1/4/2022,2524
Australia,AUS,1/5/2022,258
Australia,AUS,1/5/2022,2707
Australia,AUS,1/6/2022,275
Australia,AUS,1/6/2022,2904
Australia,AUS,1/7/2022,293
Australia,AUS,1/7/2022,3107
Australia,AUS,1/8/2022,300
Australia,AUS,1/8/2022,3323
Australia,AUS,1/9/2022,325
Australia,AUS,1/9/2022,3523
Australia,AUS,1/10/2022,342
Australia,AUS,1/10/2022,3865
Australia,AUS,1/11/2022,349
Australia,AUS,1/11/2022,4006
Australia,AUS,1/12/2022,349
Australia,AUS,1/12/2022,4197
Australia,AUS,1/13/2022,361
Australia,AUS,1/13/2022,4424
Australia,AUS,1/14/2022,384
Australia,AUS,1/14/2022,4603
Australia,AUS,1/15/2022,392
Australia,AUS,1/15/2022,4759
Australia,AUS,1/16/2022,411
Australia,AUS,1/16/2022,5047
Australia,AUS,1/17/2022,419
Australia,AUS,1/17/2022,5238
Australia,AUS,1/18/2022,424
Australia,AUS,1/18/2022,5307
Australia,AUS,1/19/2022,417
Australia,AUS,1/19/2022,5277
Australia,AUS,1/20/2022,424
Australia,AUS,1/20/2022,5147
Australia,AUS,1/21/2022,417
Australia,AUS,1/21/2022,5108
Australia,AUS,1/22/2022,384
Australia,AUS,1/22/2022,5036
Australia,AUS,1/23/2022,394
Australia,AUS,1/23/2022,5173
Australia,AUS,1/24/2022,395
Australia,AUS,1/24/2022,5390
Australia,AUS,1/25/2022,372
Australia,AUS,1/25/2022,5227
Australia,AUS,1/26/2022,382
Australia,AUS,1/26/2022,5090
Australia,AUS,1/27/2022,391
Australia,AUS,1/27/2022,5021
Australia,AUS,1/28/2022,394
Australia,AUS,1/28/2022,4953
Australia,AUS,1/29/2022,367
Australia,AUS,1/29/2022,4790
Australia,AUS,1/30/2022,371
Australia,AUS,1/30/2022,4947
Australia,AUS,1/31/2022,371
Australia,AUS,1/31/2022,4954
Australia,AUS,2/1/2022,348
Australia,AUS,2/1/2022,4664
Australia,AUS,2/2/2022,341
Australia,AUS,2/2/2022,4594
Australia,AUS,2/3/2022,313
Australia,AUS,2/3/2022,4448
Australia,AUS,2/4/2022,302
Australia,AUS,2/4/2022,4256
Australia,AUS,2/5/2022,284
Australia,AUS,2/5/2022,4147
Australia,AUS,2/6/2022,292
Australia,AUS,2/6/2022,3914
Australia,AUS,2/7/2022,271
Australia,AUS,2/7/2022,3801
Australia,AUS,2/8/2022,274
Australia,AUS,2/8/2022,3588
Australia,AUS,2/9/2022,267
Australia,AUS,2/9/2022,3414
Australia,AUS,2/10/2022,258
Australia,AUS,2/10/2022,3293
Australia,AUS,2/11/2022,257
Australia,AUS,2/11/2022,3126
Australia,AUS,2/12/2022,223
Australia,AUS,2/12/2022,3010
Australia,AUS,2/13/2022,231
Australia,AUS,2/13/2022,3069
Australia,AUS,2/14/2022,222
Australia,AUS,2/14/2022,2949
Australia,AUS,2/15/2022,223
Australia,AUS,2/15/2022,2738
Australia,AUS,2/16/2022,224
Australia,AUS,2/16/2022,2677
Australia,AUS,2/17/2022,208
Australia,AUS,2/17/2022,2528
Australia,AUS,2/18/2022,190
Australia,AUS,2/18/2022,2467
Australia,AUS,2/19/2022,184
Australia,AUS,2/19/2022,2392
Australia,AUS,2/20/2022,179
Australia,AUS,2/20/2022,2416
Australia,AUS,2/21/2022,171
Australia,AUS,2/21/2022,2407
Australia,AUS,2/22/2022,172
Australia,AUS,2/22/2022,2322
Australia,AUS,2/23/2022,157
Australia,AUS,2/23/2022,2186
Australia,AUS,2/24/2022,157
Australia,AUS,2/24/2022,2072
Australia,AUS,2/25/2022,150
Australia,AUS,2/25/2022,2025
Australia,AUS,2/26/2022,137
Australia,AUS,2/26/2022,1995
Australia,AUS,2/27/2022,136
Australia,AUS,2/27/2022,2003
Australia,AUS,2/28/2022,131
Australia,AUS,2/28/2022,1940
Australia,AUS,3/1/2022,121
Australia,AUS,3/1/2022,1904
Australia,AUS,3/2/2022,118
Australia,AUS,3/2/2022,1837
Australia,AUS,3/3/2022,110
Australia,AUS,3/3/2022,1752
Australia,AUS,3/4/2022,112
Australia,AUS,3/4/2022,1752
Australia,AUS,3/5/2022,113
Australia,AUS,3/5/2022,1737
Australia,AUS,3/6/2022,117
Australia,AUS,3/6/2022,1809
Australia,AUS,3/7/2022,112
Australia,AUS,3/7/2022,1788
Australia,AUS,3/8/2022,112
Australia,AUS,3/8/2022,1737
Australia,AUS,3/9/2022,108
Australia,AUS,3/9/2022,1688
Australia,AUS,3/10/2022,101
Australia,AUS,3/10/2022,1689
Australia,AUS,3/11/2022,97
Australia,AUS,3/11/2022,1655
Australia,AUS,3/12/2022,108
Australia,AUS,3/12/2022,1702
Australia,AUS,3/13/2022,112
Australia,AUS,3/13/2022,1727
Australia,AUS,3/14/2022,105
Australia,AUS,3/14/2022,1801
Australia,AUS,3/15/2022,105
Australia,AUS,3/15/2022,1782
Australia,AUS,3/16/2022,96
Australia,AUS,3/16/2022,1855
Australia,AUS,3/17/2022,92
Australia,AUS,3/17/2022,1812
Australia,AUS,3/18/2022,85
Australia,AUS,3/18/2022,1903
Australia,AUS,3/19/2022,87
Australia,AUS,3/19/2022,1943
Australia,AUS,3/20/2022,87
Australia,AUS,3/20/2022,2046
Australia,AUS,3/21/2022,95
Australia,AUS,3/21/2022,2107
Australia,AUS,3/22/2022,95
Australia,AUS,3/22/2022,2104
Austria,AUT,1/1/2022,322
Austria,AUT,1/1/2022,994
Austria,AUT,1/2/2022,323
Austria,AUT,1/2/2022,970
Austria,AUT,1/3/2022,321
Austria,AUT,1/3/2022,1028
Austria,AUT,1/4/2022,317
Austria,AUT,1/4/2022,1025
Austria,AUT,1/5/2022,302
Austria,AUT,1/5/2022,1000
Austria,AUT,1/6/2022,289
Austria,AUT,1/6/2022,944
Austria,AUT,1/7/2022,273
Austria,AUT,1/7/2022,914
Austria,AUT,1/8/2022,268
Austria,AUT,1/8/2022,897
Austria,AUT,1/9/2022,264
Austria,AUT,1/9/2022,903
Austria,AUT,1/10/2022,260
Austria,AUT,1/10/2022,953
Austria,AUT,1/11/2022,255
Austria,AUT,1/11/2022,908
Austria,AUT,1/12/2022,241
Austria,AUT,1/12/2022,893
Austria,AUT,1/13/2022,236
Austria,AUT,1/13/2022,876
Austria,AUT,1/14/2022,220
Austria,AUT,1/14/2022,902
Austria,AUT,1/15/2022,216
Austria,AUT,1/15/2022,865
Austria,AUT,1/16/2022,212
Austria,AUT,1/16/2022,891
Austria,AUT,1/17/2022,211
Austria,AUT,1/17/2022,959
Austria,AUT,1/18/2022,194
Austria,AUT,1/18/2022,1025
Austria,AUT,1/19/2022,193
Austria,AUT,1/19/2022,1047
Austria,AUT,1/20/2022,196
Austria,AUT,1/20/2022,1088
Austria,AUT,1/21/2022,198
Austria,AUT,1/21/2022,1102
Austria,AUT,1/22/2022,193
Austria,AUT,1/22/2022,1109
Austria,AUT,1/23/2022,190
Austria,AUT,1/23/2022,1139
Austria,AUT,1/24/2022,194
Austria,AUT,1/24/2022,1239
Austria,AUT,1/25/2022,190
Austria,AUT,1/25/2022,1304
Austria,AUT,1/26/2022,190
Austria,AUT,1/26/2022,1313
Austria,AUT,1/27/2022,172
Austria,AUT,1/27/2022,1302
Austria,AUT,1/28/2022,176
Austria,AUT,1/28/2022,1396
Austria,AUT,1/29/2022,177
Austria,AUT,1/29/2022,1392
Austria,AUT,1/30/2022,176
Austria,AUT,1/30/2022,1449
Austria,AUT,1/31/2022,175
Austria,AUT,1/31/2022,1548
Austria,AUT,2/1/2022,184
Austria,AUT,2/1/2022,1674
Austria,AUT,2/2/2022,184
Austria,AUT,2/2/2022,1693
Austria,AUT,2/3/2022,190
Austria,AUT,2/3/2022,1771
Austria,AUT,2/4/2022,195
Austria,AUT,2/4/2022,1831
Austria,AUT,2/5/2022,197
Austria,AUT,2/5/2022,1855
Austria,AUT,2/6/2022,205
Austria,AUT,2/6/2022,1909
Austria,AUT,2/7/2022,196
Austria,AUT,2/7/2022,1981
Austria,AUT,2/8/2022,194
Austria,AUT,2/8/2022,2072
Austria,AUT,2/9/2022,187
Austria,AUT,2/9/2022,2085
Austria,AUT,2/10/2022,189
Austria,AUT,2/10/2022,2061
Austria,AUT,2/11/2022,186
Austria,AUT,2/11/2022,2058
Austria,AUT,2/12/2022,190
Austria,AUT,2/12/2022,2044
Austria,AUT,2/13/2022,199
Austria,AUT,2/13/2022,2101
Austria,AUT,2/14/2022,199
Austria,AUT,2/14/2022,2183
Austria,AUT,2/15/2022,205
Austria,AUT,2/15/2022,2227
Austria,AUT,2/16/2022,197
Austria,AUT,2/16/2022,2234
Austria,AUT,2/17/2022,199
Austria,AUT,2/17/2022,2256
Austria,AUT,2/18/2022,187
Austria,AUT,2/18/2022,2271
Austria,AUT,2/19/2022,186
Austria,AUT,2/19/2022,2201
Austria,AUT,2/20/2022,188
Austria,AUT,2/20/2022,2250
Austria,AUT,2/21/2022,188
Austria,AUT,2/21/2022,2361
Austria,AUT,2/22/2022,197
Austria,AUT,2/22/2022,2378
Austria,AUT,2/23/2022,190
Austria,AUT,2/23/2022,2376
Austria,AUT,2/24/2022,200
Austria,AUT,2/24/2022,2425
Austria,AUT,2/25/2022,200
Austria,AUT,2/25/2022,2483
Austria,AUT,2/26/2022,193
Austria,AUT,2/26/2022,2364
Austria,AUT,2/27/2022,199
Austria,AUT,2/27/2022,2393
Austria,AUT,2/28/2022,187
Austria,AUT,2/28/2022,2459
Austria,AUT,3/1/2022,190
Austria,AUT,3/1/2022,2561
Austria,AUT,3/2/2022,188
Austria,AUT,3/2/2022,2594
Austria,AUT,3/3/2022,192
Austria,AUT,3/3/2022,2566
Austria,AUT,3/4/2022,195
Austria,AUT,3/4/2022,2524
Austria,AUT,3/5/2022,198
Austria,AUT,3/5/2022,2525
Austria,AUT,3/6/2022,199
Austria,AUT,3/6/2022,2483
Austria,AUT,3/7/2022,190
Austria,AUT,3/7/2022,2655
Austria,AUT,3/8/2022,192
Austria,AUT,3/8/2022,2779
Austria,AUT,3/9/2022,183
Austria,AUT,3/9/2022,2694
Austria,AUT,3/10/2022,178
Austria,AUT,3/10/2022,2687
Austria,AUT,3/11/2022,183
Austria,AUT,3/11/2022,2749
Austria,AUT,3/12/2022,181
Austria,AUT,3/12/2022,2728
Austria,AUT,3/13/2022,193
Austria,AUT,3/13/2022,2792
Austria,AUT,3/14/2022,200
Austria,AUT,3/14/2022,2875
Austria,AUT,3/15/2022,218
Austria,AUT,3/15/2022,3004
Austria,AUT,3/16/2022,218
Austria,AUT,3/16/2022,3019
Austria,AUT,3/17/2022,207
Austria,AUT,3/17/2022,3073
Austria,AUT,3/18/2022,208
Austria,AUT,3/18/2022,3020
Austria,AUT,3/19/2022,208
Austria,AUT,3/19/2022,3014
Austria,AUT,3/20/2022,203
Austria,AUT,3/20/2022,3017
Austria,AUT,3/21/2022,223
Austria,AUT,3/21/2022,3176
Austria,AUT,3/22/2022,232
Austria,AUT,3/22/2022,3291
Austria,AUT,3/23/2022,230
Austria,AUT,3/23/2022,3228
Belgium,BEL,1/1/2022,513
Belgium,BEL,1/1/2022,1704
Belgium,BEL,1/1/2022,996
Belgium,BEL,1/2/2022,508
Belgium,BEL,1/2/2022,1764
Belgium,BEL,1/2/2022,1037
Belgium,BEL,1/3/2022,520
Belgium,BEL,1/3/2022,1865
Belgium,BEL,1/3/2022,1093
Belgium,BEL,1/4/2022,503
Belgium,BEL,1/4/2022,1894
Belgium,BEL,1/4/2022,1141
Belgium,BEL,1/5/2022,471
Belgium,BEL,1/5/2022,1884
Belgium,BEL,1/5/2022,1186
Belgium,BEL,1/6/2022,473
Belgium,BEL,1/6/2022,1879
Belgium,BEL,1/6/2022,1202
Belgium,BEL,1/7/2022,464
Belgium,BEL,1/7/2022,1892
Belgium,BEL,1/7/2022,1232
Belgium,BEL,1/8/2022,438
Belgium,BEL,1/8/2022,1857
Belgium,BEL,1/8/2022,1279
Belgium,BEL,1/9/2022,442
Belgium,BEL,1/9/2022,1887
Belgium,BEL,1/9/2022,1285
Belgium,BEL,1/10/2022,439
Belgium,BEL,1/10/2022,1962
Belgium,BEL,1/10/2022,1274
Belgium,BEL,1/11/2022,450
Belgium,BEL,1/11/2022,1998
Belgium,BEL,1/11/2022,1256
Belgium,BEL,1/12/2022,423
Belgium,BEL,1/12/2022,2022
Belgium,BEL,1/12/2022,1274
Belgium,BEL,1/13/2022,406
Belgium,BEL,1/13/2022,2040
Belgium,BEL,1/13/2022,1283
Belgium,BEL,1/14/2022,411
Belgium,BEL,1/14/2022,2106
Belgium,BEL,1/14/2022,1328
Belgium,BEL,1/15/2022,393
Belgium,BEL,1/15/2022,2092
Belgium,BEL,1/15/2022,1393
Belgium,BEL,1/16/2022,391
Belgium,BEL,1/16/2022,2178
Belgium,BEL,1/16/2022,1400
Belgium,BEL,1/17/2022,396
Belgium,BEL,1/17/2022,2323
Belgium,BEL,1/17/2022,1436
Belgium,BEL,1/18/2022,389
Belgium,BEL,1/18/2022,2416
Belgium,BEL,1/18/2022,1533
Belgium,BEL,1/19/2022,388
Belgium,BEL,1/19/2022,2570
Belgium,BEL,1/19/2022,1634
Belgium,BEL,1/20/2022,367
Belgium,BEL,1/20/2022,2732
Belgium,BEL,1/20/2022,1791
Belgium,BEL,1/21/2022,364
Belgium,BEL,1/21/2022,2851
Belgium,BEL,1/21/2022,1901
Belgium,BEL,1/22/2022,359
Belgium,BEL,1/22/2022,2909
Belgium,BEL,1/22/2022,1953
Belgium,BEL,1/23/2022,361
Belgium,BEL,1/23/2022,3039
Belgium,BEL,1/23/2022,2068
Belgium,BEL,1/24/2022,371
Belgium,BEL,1/24/2022,3299
Belgium,BEL,1/24/2022,2201
Belgium,BEL,1/25/2022,366
Belgium,BEL,1/25/2022,3438
Belgium,BEL,1/25/2022,2318
Belgium,BEL,1/26/2022,353
Belgium,BEL,1/26/2022,3583
Belgium,BEL,1/26/2022,2355
Belgium,BEL,1/27/2022,359
Belgium,BEL,1/27/2022,3695
Belgium,BEL,1/27/2022,2421
Belgium,BEL,1/28/2022,367
Belgium,BEL,1/28/2022,3824
Belgium,BEL,1/28/2022,2494
Belgium,BEL,1/29/2022,376
Belgium,BEL,1/29/2022,3746
Belgium,BEL,1/29/2022,2536
Belgium,BEL,1/30/2022,387
Belgium,BEL,1/30/2022,3839
Belgium,BEL,1/30/2022,2523
Belgium,BEL,1/31/2022,406
Belgium,BEL,1/31/2022,4081
Belgium,BEL,1/31/2022,2549
Belgium,BEL,2/1/2022,414
Belgium,BEL,2/1/2022,4111
Belgium,BEL,2/1/2022,2558
Belgium,BEL,2/2/2022,432
Belgium,BEL,2/2/2022,4212
Belgium,BEL,2/2/2022,2574
Belgium,BEL,2/3/2022,431
Belgium,BEL,2/3/2022,4239
Belgium,BEL,2/3/2022,2553
Belgium,BEL,2/4/2022,428
Belgium,BEL,2/4/2022,4252
Belgium,BEL,2/4/2022,2474
Belgium,BEL,2/5/2022,415
Belgium,BEL,2/5/2022,4008
Belgium,BEL,2/5/2022,2421
Belgium,BEL,2/6/2022,429
Belgium,BEL,2/6/2022,4141
Belgium,BEL,2/6/2022,2442
Belgium,BEL,2/7/2022,440
Belgium,BEL,2/7/2022,4329
Belgium,BEL,2/7/2022,2401
Belgium,BEL,2/8/2022,433
Belgium,BEL,2/8/2022,4187
Belgium,BEL,2/8/2022,2280
Belgium,BEL,2/9/2022,430
Belgium,BEL,2/9/2022,4086
Belgium,BEL,2/9/2022,2212
Belgium,BEL,2/10/2022,403
Belgium,BEL,2/10/2022,3922
Belgium,BEL,2/10/2022,2084
Belgium,BEL,2/11/2022,397
Belgium,BEL,2/11/2022,3843
Belgium,BEL,2/11/2022,2067
Belgium,BEL,2/12/2022,381
Belgium,BEL,2/12/2022,3599
Belgium,BEL,2/12/2022,2042
Belgium,BEL,2/13/2022,371
Belgium,BEL,2/13/2022,3632
Belgium,BEL,2/13/2022,1958
Belgium,BEL,2/14/2022,380
Belgium,BEL,2/14/2022,3654
Belgium,BEL,2/14/2022,1824
Belgium,BEL,2/15/2022,364
Belgium,BEL,2/15/2022,3514
Belgium,BEL,2/15/2022,1826
Belgium,BEL,2/16/2022,352
Belgium,BEL,2/16/2022,3350
Belgium,BEL,2/16/2022,1773
Belgium,BEL,2/17/2022,350
Belgium,BEL,2/17/2022,3253
Belgium,BEL,2/17/2022,1723
Belgium,BEL,2/18/2022,338
Belgium,BEL,2/18/2022,3131
Belgium,BEL,2/18/2022,1602
Belgium,BEL,2/19/2022,330
Belgium,BEL,2/19/2022,2931
Belgium,BEL,2/19/2022,1522
Belgium,BEL,2/20/2022,315
Belgium,BEL,2/20/2022,2914
Belgium,BEL,2/20/2022,1468
Belgium,BEL,2/21/2022,315
Belgium,BEL,2/21/2022,3000
Belgium,BEL,2/21/2022,1468
Belgium,BEL,2/22/2022,285
Belgium,BEL,2/22/2022,2817
Belgium,BEL,2/22/2022,1359
Belgium,BEL,2/23/2022,289
Belgium,BEL,2/23/2022,2720
Belgium,BEL,2/23/2022,1303
Belgium,BEL,2/24/2022,269
Belgium,BEL,2/24/2022,2607
Belgium,BEL,2/24/2022,1256
Belgium,BEL,2/25/2022,250
Belgium,BEL,2/25/2022,2503
Belgium,BEL,2/25/2022,1204
Belgium,BEL,2/26/2022,231
Belgium,BEL,2/26/2022,2302
Belgium,BEL,2/26/2022,1116
Belgium,BEL,2/27/2022,241
Belgium,BEL,2/27/2022,2291
Belgium,BEL,2/27/2022,1051
Belgium,BEL,2/28/2022,240
Belgium,BEL,2/28/2022,2322
Belgium,BEL,2/28/2022,1003
Belgium,BEL,3/1/2022,224
Belgium,BEL,3/1/2022,2187
Belgium,BEL,3/1/2022,969
Belgium,BEL,3/2/2022,214
Belgium,BEL,3/2/2022,2130
Belgium,BEL,3/2/2022,951
Belgium,BEL,3/3/2022,227
Belgium,BEL,3/3/2022,2108
Belgium,BEL,3/3/2022,929
Belgium,BEL,3/4/2022,217
Belgium,BEL,3/4/2022,2051
Belgium,BEL,3/4/2022,932
Belgium,BEL,3/5/2022,212
Belgium,BEL,3/5/2022,1921
Belgium,BEL,3/5/2022,947
Belgium,BEL,3/6/2022,208
Belgium,BEL,3/6/2022,1980
Belgium,BEL,3/6/2022,985
Belgium,BEL,3/7/2022,206
Belgium,BEL,3/7/2022,2069
Belgium,BEL,3/7/2022,989
Belgium,BEL,3/8/2022,197
Belgium,BEL,3/8/2022,2008
Belgium,BEL,3/8/2022,1003
Belgium,BEL,3/9/2022,192
Belgium,BEL,3/9/2022,2010
Belgium,BEL,3/9/2022,997
Belgium,BEL,3/10/2022,185
Belgium,BEL,3/10/2022,1970
Belgium,BEL,3/10/2022,1003
Belgium,BEL,3/11/2022,178
Belgium,BEL,3/11/2022,1938
Belgium,BEL,3/11/2022,1012
Belgium,BEL,3/12/2022,178
Belgium,BEL,3/12/2022,1922
Belgium,BEL,3/12/2022,1043
Belgium,BEL,3/13/2022,175
Belgium,BEL,3/13/2022,1999
Belgium,BEL,3/13/2022,1024
Belgium,BEL,3/14/2022,177
Belgium,BEL,3/14/2022,2103
Belgium,BEL,3/14/2022,1070
Belgium,BEL,3/15/2022,181
Belgium,BEL,3/15/2022,2218
Belgium,BEL,3/15/2022,1096
Belgium,BEL,3/16/2022,177
Belgium,BEL,3/16/2022,2248
Belgium,BEL,3/16/2022,1124
Belgium,BEL,3/17/2022,173
Belgium,BEL,3/17/2022,2263
Belgium,BEL,3/17/2022,1143
Belgium,BEL,3/18/2022,171
Belgium,BEL,3/18/2022,2280
Belgium,BEL,3/18/2022,1187
Belgium,BEL,3/19/2022,170
Belgium,BEL,3/19/2022,2222
Belgium,BEL,3/19/2022,1185
Belgium,BEL,3/20/2022,176
Belgium,BEL,3/20/2022,2320
Belgium,BEL,3/20/2022,1226
Belgium,BEL,3/21/2022,179
Belgium,BEL,3/21/2022,2435
Belgium,BEL,3/21/2022,1209
Belgium,BEL,3/22/2022,179
Belgium,BEL,3/22/2022,2511
Belgium,BEL,3/22/2022,1240
Belgium,BEL,3/23/2022,171
Belgium,BEL,3/23/2022,2597
Belgium,BEL,3/23/2022,1282
Bolivia,BOL,1/1/2022,134
Bolivia,BOL,1/1/2022,1171
Bolivia,BOL,1/2/2022,129
Bolivia,BOL,1/2/2022,1209
Bolivia,BOL,1/3/2022,128
Bolivia,BOL,1/3/2022,1223
Bolivia,BOL,1/4/2022,126
Bolivia,BOL,1/4/2022,1316
Bolivia,BOL,1/5/2022,133
Bolivia,BOL,1/5/2022,1395
Bolivia,BOL,1/6/2022,142
Bolivia,BOL,1/6/2022,12
Bolivia,BOL,1/6/2022,1490
Bolivia,BOL,1/7/2022,141
Bolivia,BOL,1/7/2022,1516
Bolivia,BOL,1/8/2022,139
Bolivia,BOL,1/8/2022,1564
Bolivia,BOL,1/9/2022,149
Bolivia,BOL,1/9/2022,1620
Bolivia,BOL,1/10/2022,154
Bolivia,BOL,1/10/2022,1667
Bolivia,BOL,1/11/2022,156
Bolivia,BOL,1/11/2022,1701
Bolivia,BOL,1/12/2022,164
Bolivia,BOL,1/12/2022,1767
Bolivia,BOL,1/13/2022,167
Bolivia,BOL,1/13/2022,1783
Bolivia,BOL,1/14/2022,175
Bolivia,BOL,1/14/2022,1825
Bolivia,BOL,1/15/2022,185
Bolivia,BOL,1/15/2022,1832
Bolivia,BOL,1/16/2022,181
Bolivia,BOL,1/16/2022,1810
Bolivia,BOL,1/17/2022,184
Bolivia,BOL,1/17/2022,1802
